Var1,prdaily,flood
1-Jan-79,7.97979798,0
2-Jan-79,7.55,0
3-Jan-79,6.969230769,0
4-Jan-79,8.45515873,0
5-Jan-79,8.484074074,0
6-Jan-79,7.953819444,0
7-Jan-79,7.811764706,0
8-Jan-79,7.753703704,0
9-Jan-79,7.345614035,0
10-Jan-79,6.978333333,0
11-Jan-79,6.646031746,0
12-Jan-79,6.646031746,0
13-Jan-79,6.646031746,0
14-Jan-79,6.644444444,0
15-Jan-79,6.635714286,0
16-Jan-79,6.535978836,0
17-Jan-79,6.533333333,0
18-Jan-79,6.074074074,0
19-Jan-79,4.85026455,0
20-Jan-79,4.95,0
21-Jan-79,5.102645503,0
22-Jan-79,3.654497354,0
23-Jan-79,3.762698413,0
24-Jan-79,3.762698413,0
25-Jan-79,2.44021164,0
26-Jan-79,2.016931217,0
27-Jan-79,2.016931217,0
28-Jan-79,1.753174603,0
29-Jan-79,1.430952381,0
30-Jan-79,1.430952381,0
31-Jan-79,1.430952381,0
1-Feb-79,1.430952381,0
2-Feb-79,1.492592593,0
3-Feb-79,2.845238095,0
4-Feb-79,3.214285714,0
5-Feb-79,3.319047619,0
6-Feb-79,3.506878307,0
7-Feb-79,3.425925926,0
8-Feb-79,3.858994709,0
9-Feb-79,4.233862434,0
10-Feb-79,4.873809524,0
11-Feb-79,5.177777778,0
12-Feb-79,5.328306878,0
13-Feb-79,5.221164021,0
14-Feb-79,5.221164021,0
15-Feb-79,5.243386243,0
16-Feb-79,5.365608466,0
17-Feb-79,5.365608466,0
18-Feb-79,5.91984127,0
19-Feb-79,6.793386243,0
20-Feb-79,6.800529101,0
21-Feb-79,6.800529101,0
22-Feb-79,6.800529101,0
23-Feb-79,6.738888889,0
24-Feb-79,5.386243386,0
25-Feb-79,5.017195767,0
26-Feb-79,4.86984127,0
27-Feb-79,4.68042328,0
28-Feb-79,4.68042328,0
1-Mar-79,4.247354497,0
2-Mar-79,3.850529101,0
3-Mar-79,2.911640212,0
4-Mar-79,2.38015873,0
5-Mar-79,2.616931217,0
6-Mar-79,2.742592593,0
7-Mar-79,2.814550265,0
8-Mar-79,2.794973545,0
9-Mar-79,2.718518519,0
10-Mar-79,2.955291005,0
11-Mar-79,2.605291005,0
12-Mar-79,1.732804233,0
13-Mar-79,1.725661376,0
14-Mar-79,1.725661376,0
15-Mar-79,1.725661376,0
16-Mar-79,2.03968254,0
17-Mar-79,3.515873016,0
18-Mar-79,3.914285714,0
19-Mar-79,3.92962963,0
20-Mar-79,3.92962963,0
21-Mar-79,3.92962963,0
22-Mar-79,3.92962963,0
23-Mar-79,3.92962963,0
24-Mar-79,3.908465608,0
25-Mar-79,3.710582011,0
26-Mar-79,3.027513228,0
27-Mar-79,2.766402116,0
28-Mar-79,2.694444444,0
29-Mar-79,2.691798942,0
30-Mar-79,2.646031746,0
31-Mar-79,2.409259259,0
1-Apr-79,2.205026455,0
2-Apr-79,2.203968254,0
3-Apr-79,2.203968254,0
4-Apr-79,2.203968254,0
5-Apr-79,2.22010582,0
6-Apr-79,2.091798942,0
7-Apr-79,0.634920635,0
8-Apr-79,0.236507937,0
9-Apr-79,0.221164021,0
10-Apr-79,0.221164021,0
11-Apr-79,0.221164021,0
12-Apr-79,0.228306878,0
13-Apr-79,0.246296296,0
14-Apr-79,0.248941799,0
15-Apr-79,0.310846561,0
16-Apr-79,0.67010582,0
17-Apr-79,0.828571429,0
18-Apr-79,0.828571429,0
19-Apr-79,0.828571429,0
20-Apr-79,0.828571429,0
21-Apr-79,0.829365079,0
22-Apr-79,0.829365079,0
23-Apr-79,0.829365079,0
24-Apr-79,0.829365079,0
25-Apr-79,0.841534392,0
26-Apr-79,0.886507937,0
27-Apr-79,1.076455026,0
28-Apr-79,1.087830688,0
29-Apr-79,1.087830688,0
30-Apr-79,1.087830688,0
1-May-79,1.087830688,0
2-May-79,1.087830688,0
3-May-79,1.080687831,0
4-May-79,1.062698413,0
5-May-79,1.06005291,0
6-May-79,0.998148148,0
7-May-79,0.638888889,0
8-May-79,0.48042328,0
9-May-79,0.48042328,0
10-May-79,0.48042328,0
11-May-79,0.48042328,0
12-May-79,0.47962963,0
13-May-79,0.47962963,0
14-May-79,0.47962963,0
15-May-79,0.47962963,0
16-May-79,0.467460317,0
17-May-79,0.406349206,0
18-May-79,0.030687831,0
19-May-79,0,0
20-May-79,0,0
21-May-79,0,0
22-May-79,0,0
23-May-79,0,0
24-May-79,0,0
25-May-79,0,0
26-May-79,0,0
27-May-79,0,0
28-May-79,0,0
29-May-79,0,0
30-May-79,0,0
31-May-79,0,0
1-Jun-79,0,0
2-Jun-79,0,0
3-Jun-79,0,0
4-Jun-79,0,0
5-Jun-79,0,0
6-Jun-79,0,0
7-Jun-79,0,0
8-Jun-79,0,0
9-Jun-79,0,0
10-Jun-79,0,0
11-Jun-79,0,0
12-Jun-79,0,0
13-Jun-79,0,0
14-Jun-79,0,0
15-Jun-79,0,0
16-Jun-79,0,0
17-Jun-79,0,0
18-Jun-79,0,0
19-Jun-79,0,0
20-Jun-79,0,0
21-Jun-79,0,0
22-Jun-79,0,0
23-Jun-79,0,0
24-Jun-79,0,0
25-Jun-79,0,0
26-Jun-79,0,0
27-Jun-79,0,0
28-Jun-79,0,0
29-Jun-79,0,0
30-Jun-79,0,0
1-Jul-79,0,0
2-Jul-79,0,0
3-Jul-79,0,0
4-Jul-79,0,0
5-Jul-79,0,0
6-Jul-79,0,0
7-Jul-79,0,0
8-Jul-79,0,0
9-Jul-79,0,0
